SSID,BSSID,RSSI,CHANNEL,HT,CC,SECURITY,(auth/unicast/group)
vf300-f8fc15-gw,02:14:79:65:df:40,-84 ,1,N ,JP,WEP,
vf300-6e9cf9-g,00:14:79:65:c6:da,-83 ,3,Y ,JP,WPA(PSK/AES/AES),WPA2(PSK/AES/AES) 
vf300-949c92-g,00:14:79:65:bf:51,-77 ,8,Y ,JP,WPA(PSK/AES/AES),WPA2(PSK/AES/AES) 
vf300-639ccd-gw,02:14:79:65:dd:4e,-76 ,11 ,N ,JP,WEP,
vf300-a76816-gw,02:14:79:65:de:e6,-76 ,7,N ,JP,WEP,
vf300-639ccd-g,00:14:79:65:dd:4e,-73 ,11 ,Y ,JP,WPA(PSK/AES/AES),WPA2(PSK/AES/AES) 
vf300-f8fc15-g,00:14:79:65:df:40,-68 ,1,Y ,JP,WPA(PSK/AES/AES),WPA2(PSK/AES/AES) 
vf300-93e119-gw,02:14:79:65:d5:fb,-62 ,6,N ,JP,WEP,
vf300-7a8bd3-g,00:14:79:65:df:e8,-61 ,9,Y ,JP,WPA(PSK/AES/AES),WPA2(PSK/AES/AES) 
vf300-7a8bd3-gw,02:14:79:65:df:e8,-59 ,9,N ,JP,WEP,
vf300-93e119-g,00:14:79:65:d5:fb,-58 ,6,Y ,JP,WPA(PSK/AES/AES),WPA2(PSK/AES/AES) 
vf300-10b10d-g,00:14:79:65:99:82,-38 ,2,Y ,JP,WPA(PSK/AES/AES),WPA2(PSK/AES/AES)
